name,ticker,market,sector
PT Megalestari Epack Sentosaraya Tbk,EPAC,IDX,Technology services
PT Enseval Putera Megatrading Tbk,EPMT,IDX,Distribution services
PT Erajaya Swasembada Tbk,ERAA,IDX,Distribution services
PT Sinar Eka Selaras Tbk,ERAL,IDX,Retail trade
PT Eratex Djaja Tbk,ERTX,IDX,Process industries
PT Sinergi Inti Plastindo Tbk,ESIP,IDX,Producer manufacturing
PT ESSA Industries Indonesia Tbk,ESSA,IDX,Energy minerals
PT Esta Multi Usaha Tbk,ESTA,IDX,Consumer services
PT Ever Shine Textile Tbk,ESTI,IDX,Process industries
PT Estee Gold Feet Tbk,EURO,IDX,Consumer non-durables
PT XLSMART Telecom Sejahtera Tbk,EXCL,IDX,Communications
PT FAP Agri Tbk,FAPA,IDX,Consumer non-durables
PT Fast Food Indonesia Tbk,FAST,IDX,Consumer services
PT MD Entertainment Tbk,FILM,IDX,Consumer services
PT Alfa Energi Investama Tbk,FIRE,IDX,Energy minerals
PT FKS Multi Agro Tbk,FISH,IDX,Consumer non-durables
PT Hotel Fitra International Tbk,FITT,IDX,Consumer services
PT Falmaco Nonwoven Industri Tbk,FLMC,IDX,Process industries
PT Fortune Mate Indonesia Tbk,FMII,IDX,Finance
PT Multi Garam Utama Tbk,FOLK,IDX,Distribution services
PT Sentra Food Indonesia Tbk,FOOD,IDX,Distribution services
PT Fore Kopi Indonesia Tbk,FORE,IDX,Consumer services
"PT Fortune Indonesia, Tbk",FORU,IDX,Commercial services
PT Lotte Chemical Titan Tbk,FPNI,IDX,Process industries
PT Fuji Finance Indonesia Tbk.,FUJI,IDX,Finance
PT Futura Energi Global Tbk,FUTR,IDX,Commercial services
PT Wijaya Cahaya Timber Tbk,FWCT,IDX,Non-energy minerals
PT Gunawan Dianjaya Steel Tbk,GDST,IDX,Non-energy minerals
PT Goodyear Indonesia Tbk,GDYR,IDX,Consumer durables
PT Gema Grahasarana Tbk,GEMA,IDX,Producer manufacturing
PT Golden Energy Mines Tbk,GEMS,IDX,Energy minerals
PT Gudang Garam Tbk,GGRM,IDX,Consumer non-durables
PT Gunung Raja Paksi Tbk,GGRP,IDX,Non-energy minerals
PT Gihon Telekomunikasi Indonesia,GHON,IDX,Communications
PT Garuda Indonesia (Persero) Tbk Class B,GIAA,IDX,Transportation
PT Gajah Tunggal Tbk,GJTL,IDX,Consumer durables
PT Globe Kita Terang Tbk,GLOB,IDX,Retail trade
PT Galva Technologies Tbk,GLVA,IDX,Distribution services
PT Garuda Maintenance Facility Aero Asia Tbk,GMFI,IDX,Transportation
PT Gowa Makassar Tourism Development Tbk,GMTD,IDX,Finance
PT Visi Telekomunikasi Infrastruktur Tbk,GOLD,IDX,Finance
PT Intra Golflink Resorts Tbk,GOLF,IDX,Commercial services
PT Garudafood Putra Putri Jaya Tbk,GOOD,IDX,Consumer non-durables
PT GoTo Gojek Tokopedia Tbk,GOTO,IDX,Technology services
PT Perdana Gapuraprima Tbk,GPRA,IDX,Consumer durables
PT Geoprima Solusi Tbk,GPSO,IDX,Technology services
PT Ingria Pratama Capitalindo Tbk,GRIA,IDX,Finance
PT Griptha Putra Persada Tbk,GRPH,IDX,Consumer services
PT Graha Prima Mentari Tbk,GRPM,IDX,Distribution services
PT Equity Development Investment Tbk Class A,GSMF,IDX,Finance
PT Garda Tujuh Buana Tbk,GTBO,IDX,Energy minerals
PT Grahaprima Suksesmandiri Tbk,GTRA,IDX,Transportation
PT GTS Internasional,GTSI,IDX,Transportation
PT Aman Agrindo Tbk,GULA,IDX,Process industries
PT Gunanusa Eramandiri Tbk,GUNA,IDX,Consumer non-durables
PT Greenwood Sejahtera Tbk,GWSA,IDX,Finance
PT Gozco Plantations Tbk,GZCO,IDX,Process industries
PT Himalaya Energi Perkasa Tbk,HADE,IDX,Distribution services
PT Hasnur Internasional Shipping Tbk,HAIS,IDX,Transportation
PT Arsy Buana Travelindo Tbk,HAJJ,IDX,Consumer services
PT Haloni Jane Tbk,HALO,IDX,Producer manufacturing
PT Habco Trans Maritima Tbk,HATM,IDX,Transportation
PT Minahasa Membangun Hebat Tbk,HBAT,IDX,Finance
PT Radana Bhaskara Finance Tbk,HDFA,IDX,Finance
PT Hensel Davest Indonesia Tbk,HDIT,IDX,Commercial services
PT Medikaloka Hermina Tbk,HEAL,IDX,Health services
PT Jaya Trishindo Tbk,HELI,IDX,Transportation
PT DFI Retail Nusantara Tbk,HERO,IDX,Retail trade
PT Hexindo Adiperkasa Tbk,HEXA,IDX,Distribution services
PT Hero Global Investment Tbk,HGII,IDX,Utilities
PT Hillcon Tbk,HILL,IDX,Non-energy minerals
PT Hanjaya Mandala Sampoerna Tbk,HMSP,IDX,Consumer non-durables
PT Buyung Poetra Sembada Tbk,HOKI,IDX,Process industries
PT Grand House Mulia Tbk,HOMI,IDX,Finance
PT Harapan Duta Pertiwi Tbk,HOPE,IDX,Producer manufacturing
PT Menteng Heritage Realty Tbk,HRME,IDX,Consumer services
PT Hartadinata Abadi Tbk,HRTA,IDX,Consumer durables
PT Harum Energy Tbk,HRUM,IDX,Energy minerals
PT Humpuss Maritim Internasional Tbk,HUMI,IDX,Transportation
PT Ecocare Indo Pasifik Tbk,HYGN,IDX,Commercial services
PT MNC Energy Investments Tbk,IATA,IDX,Distribution services
PT Intan Baru Prana Tbk,IBFN,IDX,Finance
PT Indo Boga Sukses Tbk,IBOS,IDX,Consumer services
PT Inti Bangun Sejahtera Tbk,IBST,IDX,Industrial services
PT Indofood CBP Sukses Makmur Tbk,ICBP,IDX,Consumer non-durables
PT Island Concepts Indonesia Tbk,ICON,IDX,Consumer services
PT Idea Indonesia Akademi Tbk,IDEA,IDX,Commercial services
PT Indonesia Pondasi Raya Tbk,IDPR,IDX,Industrial services
PT Indonesia Fibreboard Industry Tbk,IFII,IDX,Non-energy minerals
PT Ifishdeco Tbk,IFSH,IDX,Non-energy minerals
PT Champion Pacific Indonesia Tbk,IGAR,IDX,Process industries
PT Intikeramik Alamasri Industri Tbk,IKAI,IDX,Producer manufacturing
PT Era Mandiri Cemerlang Tbk,IKAN,IDX,Consumer non-durables
PT Sumi Indo Kabel Tbk,IKBI,IDX,Electronic technology
PT Ikapharmindo Putramas Tbk,IKPM,IDX,Health technology
PT Indomobil Sukses Internasional Tbk,IMAS,IDX,Consumer durables
PT Indomobil Multi Jasa Tbk,IMJS,IDX,Finance
PT Impack Pratama Industri Tbk,IMPC,IDX,Producer manufacturing
PT Indal Aluminium Industry Tbk,INAI,IDX,Non-energy minerals
PT Indo Komoditi Korpora Tbk Class A,INCF,IDX,Producer manufacturing
PT Intanwijaya Internasional Tbk,INCI,IDX,Process industries
PT Vale Indonesia Tbk,INCO,IDX,Non-energy minerals
PT Indofood Sukses Makmur Tbk,INDF,IDX,Consumer non-durables
PT Royalindo Investa Wijaya Tbk,INDO,IDX,Finance
PT Indo-Rama Synthetics Tbk,INDR,IDX,Process industries
PT Indospring Tbk,INDS,IDX,Producer manufacturing
PT Tanah Laut Tbk,INDX,IDX,Technology services
PT Indika Energy Tbk,INDY,IDX,Energy minerals
PT Sinergi Inti Andalan Prima Tbk,INET,IDX,Communications
PT Indah Kiat Pulp & Paper Tbk,INKP,IDX,Process industries
PT Inocycle Technology Group Tbk,INOV,IDX,Process industries
PT Bank Artha Graha Internasional Tbk,INPC,IDX,Finance
PT Indonesian Paradise Property Tbk,INPP,IDX,Consumer services
PT Indah Prakasa Sentosa Tbk,INPS,IDX,Utilities
PT Toba Pulp Lestari Tbk,INRU,IDX,Process industries
PT Intraco Penta Tbk,INTA,IDX,Distribution services
PT Inter-Delta Tbk,INTD,IDX,Consumer durables
PT Indocement Tunggal Prakarsa Tbk,INTP,IDX,Non-energy minerals
PT Sumber Sinergi Makmur Tbk,IOTF,IDX,Distribution services
PT Era Graharealty Tbk,IPAC,IDX,Finance
PT Indonesia Kendaraan Terminal Tbk,IPCC,IDX,Transportation
PT Jasa Armada Indonesia Tbk,IPCM,IDX,Transportation
PT Indopoly Swakarsa Industry Tbk,IPOL,IDX,Process industries
PT MNC Vision Networks Tbk Class A,IPTV,IDX,Consumer services
PT Itama Ranoraya Tbk,IRRA,IDX,Distribution services
PT Aviana Sinar Abadi Tbk,IRSX,IDX,Technology services
PT Isra Presisi Indonesia Tbk,ISAP,IDX,Producer manufacturing
PT Indosat Tbk Class B,ISAT,IDX,Communications
PT Indo American Seafoods Tbk,ISEA,IDX,Consumer non-durables
PT Steel Pipe Industry of Indonesia Tbk,ISSP,IDX,Non-energy minerals
PT Indonesian Tobacco Tbk,ITIC,IDX,Consumer non-durables
PT Sumber Energi Andalan Tbk,ITMA,IDX,Energy minerals
PT Indo Tambangraya Megah Tbk,ITMG,IDX,Energy minerals
PT Jhonlin Agro Raya Tbk,JARR,IDX,Process industries
PT Jasnita Telekomindo Tbk,JAST,IDX,Communications
PT Informasi Teknologi Indonesia Tbk,JATI,IDX,Technology services
PT Jaya Agra Wattie Tbk,JAWA,IDX,Process industries
PT Armada Berjaya Trans Tbk,JAYA,IDX,Transportation
PT Jembo Cable Co. Tbk,JECC,IDX,Producer manufacturing
PT Graha Andrasentra Propertindo Tbk,JGLE,IDX,Finance
